__label__INFORMATIVE	official death toll from covid19 in the united kingdom is now greater than germany + poland + switzerland + austria + portugal + greece + sweden + finland + norway + ireland combined uk 675 million (233 dead above group 185 million (230 dead httpurl
__label__INFORMATIVE	dearest mr president 1169 coronavirus deaths in the us in 24 hours ( covid19 pandemic is an international crime from china - not a nature disasster please use your authorities to protect your people and world against china chinahastocompensateall
__label__INFORMATIVE	latest updates march 20 5274 new cases and 38 new deaths in the united states illinois governo pritzker issues stay at home order for all residents new york governor cuomo orders 100% of all non-essential workers to stay home pennssource ( /coronavirus/country/us/ 
__label__INFORMATIVE	真把公主不当干部 breaking 21 people on grand princess cruise ship docked off the california coast tested positive for coronavirus including 19 crew members and two passengers vice pres mike pence says 24 people tested negative httpurl httpurl
__label__UNINFORMATIVE	oklahoma city the state department of education announced monday the closure of all k-12 public schools statewide until at least april 6 as the number of covid-19 cases climb and the risk of community spread grows httpurl
__label__UNINFORMATIVE	democrats somehow managed to fight ebola without calling it the african virus a cluster of covid-19 cases has emerged in new york city's hassidic neighborhood so it's only a matter of time before the local trump klux klan starts talking about the jew virus
__label__INFORMATIVE	as number of covid19 deaths surpassed 100000 worldwide ny surpassed italy on number of recorded deaths 🔥😷🇺🇸 new york state has more coronavirus cases than any country worldwide httpurl
__label__INFORMATIVE	 1 week ago today (march 14 there were only 115 cases of covid in fl today last count was at 763 that is a 563% increase in 1 week due to your slave to trump” incompetence imagine next saturday if there is another 563% increase-we will be at 9300+ resign
__label__UNINFORMATIVE	coronavirus impact close taj mahal till march end agra mayor urges” people scared of foreigners and looked at them with suspicion situation could turn nasty and tarnish india's image internationally he said not possible to tarnish india further httpurl
__label__UNINFORMATIVE	dear in covid2019 casegive tools amp machines to bangladesh not money bcoz climate fund money was stolen by the ruling party   httpurl
__label__UNINFORMATIVE	los angeles is now the county with the highest number of coronavirus cases in california breaks down the impact of covid19 on la from cancelled college commencements to haphazard health screenings at lax airport cheddarlive httpurl
__label__INFORMATIVE	covid19 updates sothsudan's fist positive patient is a 29 yo dutch who arrived in the country from netherlands via addis ababa on 28 february ssot httpurl
__label__UNINFORMATIVE	watch live discussion on covid19 with union health minister dr harsh vardhan union health secretary ms preeti sudan amp dg icmr dr balram bhargava httpurl
__label__UNINFORMATIVE	coronavirus cases in africa could shoot up from thousands now to 10 million within three to six months according to very provisional modelling a regional official said on thursday httpurl httpurl httpurl
__label__UNINFORMATIVE	according to their report if you come in contact with someone who tests positive for covid-19 you have a 1–5% chance of catching it as well” who’s report the world health organization this is a long read but very worth while httpurl
__label__UNINFORMATIVE	senators urge jeff bezos to give amazon warehouse workers sick leave hazard pay - cnbc * senators urge jeff bezos to give amazon warehouse workers sick leave hazard pay cnbc * amazon warehouse workers fear catching coronavirus just to get you your… httpurl httpurl
__label__INFORMATIVE	a professor has died after contracting coronavirus a book of condolence will be available online soon for professor peter sinclair from the department of economics httpurl
__label__INFORMATIVE	eu imposes entry ban for 30 days while death toll in the united states mounts to 100 death toll in italy due to coronavirus crosses 2100 spain colombia malaysia and canada seal borders covid19 coronaviruspandemic cuarentenanacional cuarentenacoronavirus coronaalert httpurl
__label__INFORMATIVE	إِنَّا لِلّهِ وَإِنَّـا إِلَيْهِ رَاجِعُونَ sad to hear about passing away of syed mehdi shah brother in law of cm sindh he was tested positive with covid_19 may allah rest his soul in peace
__label__INFORMATIVE	 carma amp her family in san jose ca are possibly infected with coronavirus since 6 feb in seattle way way more than 1000 cases in seattle now httpurl
__label__UNINFORMATIVE	i think the president cyril ramaphosa should address us every day monday - friday at 1830 throughout this ordeal 🤷‍♂ covid_19 coronavirusinsa lockdownsa
__label__UNINFORMATIVE	day 8 shout out goes to kevin ⁦ for his great coverage of covid 19 and community responses and needs coupled with applause to ⁦ med students who are tracking positive peeps contacts httpurl
__label__UNINFORMATIVE	 we don’t want to argue we want you racists in the to freaking stop calling it the chinese virus” that is disgusting it is stirring up bigotry and hatred we are not arguing and people are dying you are hateful racist scum stfu covid2019 coronacrisis
__label__UNINFORMATIVE	half of uruguay’s covid-19 cases can be traced to a single fashion designer httpurl
